playlist_name,link,category
Mood Booster,https://open.spotify.com/playlist/37i9dQZF1DX3rxVfibe1L0,mood boosting
Songs to Sing in the Shower,https://open.spotify.com/playlist/37i9dQZF1DWSqmBTGDYngZ,mood boosting
Happy Hits!,https://open.spotify.com/playlist/37i9dQZF1DXdPec7aLTmlC,mood boosting
Fun Run,https://open.spotify.com/playlist/37i9dQZF1DXadOVCgGhS7j,running
Running to Rock,https://open.spotify.com/playlist/37i9dQZF1DWZUTt0fNaCPB,running
Run This Town,https://open.spotify.com/playlist/37i9dQZF1DWWPcvnOpPG3x,running
Instrumental Study,https://open.spotify.com/playlist/37i9dQZF1DX9sIqqvKsjG8,studying
Deep Focus,https://open.spotify.com/playlist/37i9dQZF1DWZeKCadgRdKQ,studying
Intense Studying,https://open.spotify.com/playlist/37i9dQZF1DX8NTLI2TtZa6,studying
